REF_AREA;QUARTER;UNE_RATE_PCT
MEX;2025Q1;2.5802726666666667
MEX;2025Q2;2.696854
MEX;2025Q3;2.6744056666666665
MEX;2025Q4;2.634201
NLD;2023Q1;3.533333333333333
NLD;2023Q2;3.466666666666667
NLD;2023Q3;3.6333333333333333
NLD;2023Q4;3.5666666666666664
NLD;2024Q1;3.6333333333333333
NLD;2024Q2;3.6333333333333333
NLD;2024Q3;3.6666666666666665
NLD;2024Q4;3.7000000000000006
NLD;2025Q1;3.8333333333333335
NLD;2025Q2;3.7999999999999994
NLD;2025Q3;3.9
NLD;2025Q4;4.0
NOR;2023Q1;3.6999999999999997
NOR;2023Q2;3.3333333333333335
NOR;2023Q3;3.5666666666666664
NOR;2023Q4;3.766666666666667
NOR;2024Q1;3.966666666666667
NOR;2024Q2;4.0
NOR;2024Q3;3.966666666666667
NOR;2024Q4;4.066666666666666
NOR;2025Q1;4.1000000000000005
NOR;2025Q2;4.766666666666667
NOR;2025Q3;4.7
NOR;2025Q4;4.433333333333334
OECD;2023Q1;4.8524140000000004
OECD;2023Q2;4.822832666666667
OECD;2023Q3;4.837747
OECD;2023Q4;4.882748333333333
OECD;2024Q1;4.90505
OECD;2024Q2;4.936673
OECD;2024Q3;4.933495333333333
OECD;2024Q4;4.908409
OECD;2025Q1;4.908998333333334
OECD;2025Q2;4.950689666666666
OECD;2025Q3;5.005135
OECD;2025Q4;5.026268
POL;2023Q1;2.6666666666666665
POL;2023Q2;2.766666666666667
POL;2023Q3;2.8333333333333335
POL;2023Q4;3.0666666666666664
POL;2024Q1;2.9
POL;2024Q2;2.8666666666666667
POL;2024Q3;2.966666666666667
POL;2024Q4;2.8333333333333335
POL;2025Q1;3.1666666666666665
POL;2025Q2;3.0666666666666664
POL;2025Q3;3.1666666666666665
POL;2025Q4;3.1666666666666665
PRT;2023Q1;6.866666666666667
PRT;2023Q2;6.5
PRT;2023Q3;6.433333333333334
PRT;2023Q4;6.5
PRT;2024Q1;6.433333333333334
PRT;2024Q2;6.466666666666666
PRT;2024Q3;6.433333333333334
PRT;2024Q4;6.533333333333334
PRT;2025Q1;6.3
PRT;2025Q2;6.166666666666667
PRT;2025Q3;6.0
PRT;2025Q4;5.7
ROU;2023Q1;5.666666666666667
ROU;2023Q2;5.6000000000000005
ROU;2023Q3;5.433333333333334
ROU;2023Q4;5.5
ROU;2024Q1;5.266666666666667
ROU;2024Q2;5.233333333333333
ROU;2024Q3;5.666666666666667
ROU;2024Q4;5.666666666666667
ROU;2025Q1;6.1000000000000005
ROU;2025Q2;6.166666666666667
ROU;2025Q3;6.0
ROU;2025Q4;6.166666666666667
SVK;2023Q1;6.066666666666666
SVK;2023Q2;5.833333333333333
SVK;2023Q3;5.833333333333333
SVK;2023Q4;5.666666666666667
SVK;2024Q1;5.5
SVK;2024Q2;5.3
SVK;2024Q3;5.3
SVK;2024Q4;5.233333333333333
SVK;2025Q1;5.233333333333333
SVK;2025Q2;5.433333333333334
SVK;2025Q3;5.5
SVK;2025Q4;5.6000000000000005
SVN;2023Q1;3.6
SVN;2023Q2;3.7999999999999994
SVN;2023Q3;3.6333333333333333
SVN;2023Q4;3.5666666666666664
SVN;2024Q1;3.3666666666666667
SVN;2024Q2;3.6
SVN;2024Q3;4.1
SVN;2024Q4;3.6666666666666665
SVN;2025Q1;3.9
SVN;2025Q2;3.4333333333333336
SVN;2025Q3;3.9
SVN;2025Q4;4.2
SWE;2023Q1;7.333333333333333
SWE;2023Q2;7.5
SWE;2023Q3;7.8
SWE;2023Q4;8.033333333333333
SWE;2024Q1;8.266666666666666
SWE;2024Q2;8.333333333333334
SWE;2024Q3;8.5
SWE;2024Q4;8.333333333333334
SWE;2025Q1;8.933333333333334
SWE;2025Q2;8.666666666666666
SWE;2025Q3;8.799999999999999
SWE;2025Q4;9.033333333333333
TUR;2023Q1;9.966666666666667
TUR;2023Q2;9.633333333333333
TUR;2023Q3;9.200000000000001
TUR;2023Q4;8.766666666666667
TUR;2024Q1;8.866666666666667
TUR;2024Q2;8.700000000000001
TUR;2024Q3;8.666666666666666
TUR;2024Q4;8.566666666666666
TUR;2025Q1;8.233333333333333
TUR;2025Q2;8.566666666666666
TUR;2025Q3;8.4
TUR;2025Q4;8.299999999999999
USA;2023Q1;3.533333333333333
USA;2023Q2;3.533333333333333
USA;2023Q3;3.6333333333333333
USA;2023Q4;3.8000000000000003
USA;2024Q1;3.8333333333333335
USA;2024Q2;3.9666666666666663
USA;2024Q3;4.166666666666667
USA;2024Q4;4.133333333333333
USA;2025Q1;4.133333333333334
USA;2025Q2;4.2
USA;2025Q3;4.333333333333333
USA;2025Q4;4.45
