REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT;GDP_GROWTH_QOQ_PCT;UNE_CHANGE_QOQ_PP;GDP_LAG_1Q;UNE_LAG_1Q;GDP_LAG_2Q;UNE_LAG_2Q;GDP_ROLLING_4Q;UNE_ROLLING_4Q;GDP_GROWTH_YOY_PCT;UNE_CHANGE_YOY_PP;OBS_STATUS_ENC;QUARTER_IDX;YEAR;COUNTRY_IDX;GDP_GROUP;GDP_GROUP_ENC
BEL;2023Q3;61695.2;A;2020.0;5.366666666666667;0.00226927179067804;-0.2999999999999998;61693.8;5.666666666666667;61630.0;5.599999999999999;61673.0;5.544444444444444;;;2;2;2023;2;HIGH;1
BEL;2023Q4;61811.3;A;2020.0;5.533333333333334;0.18818319739624112;0.16666666666666696;61695.2;5.366666666666667;61693.8;5.666666666666667;61707.575;5.541666666666667;;;2;3;2023;2;HIGH;1
BEL;2024Q1;61963.2;P;2020.0;5.7;0.2457479457639522;0.16666666666666607;61811.3;5.533333333333334;61695.2;5.366666666666667;61790.875;5.566666666666667;0.5406457893882832;0.10000000000000142;1;4;2024;2;HIGH;1
BEL;2024Q2;61992.0;P;2020.0;5.599999999999999;0.04647920055775856;-0.10000000000000142;61963.2;5.7;61811.3;5.533333333333334;61865.425;5.55;0.48335489141533294;-0.0666666666666682;1;5;2024;2;HIGH;1
BEL;2024Q3;62050.5;P;2020.0;5.7;0.09436701509872858;0.10000000000000142;61992.0;5.599999999999999;61963.2;5.7;61954.25;5.633333333333333;0.5758956936682269;0.33333333333333304;1;6;2024;2;HIGH;1
BEL;2024Q4;62053.5;P;2020.0;5.8999999999999995;0.004834771677897365;0.1999999999999993;62050.5;5.7;61992.0;5.599999999999999;62014.8;5.725;0.3918377384070526;0.36666666666666536;1;7;2024;2;HIGH;1
BEL;2025Q1;62235.4;P;2020.0;6.166666666666667;0.2931341503702445;0.2666666666666675;62053.5;5.8999999999999995;62050.5;5.7;62082.85;5.841666666666667;0.4392929997159678;0.4666666666666668;1;8;2025;2;HIGH;1
BEL;2025Q2;62324.3;P;2020.0;6.066666666666666;0.1428447475231076;-0.10000000000000053;62235.4;6.166666666666667;62053.5;5.8999999999999995;62165.925;5.958333333333334;0.5360369079881355;0.4666666666666677;1;9;2025;2;HIGH;1
BEL;2025Q3;62406.5;P;2020.0;6.166666666666667;0.13189077133637372;0.10000000000000053;62324.3;6.066666666666666;62235.4;6.166666666666667;62254.925;6.074999999999999;0.5737262391116937;0.4666666666666668;1;10;2025;2;HIGH;1
BEL;2025Q4;62391.7;P;2020.0;6.400000000000001;-0.02371547835562371;0.23333333333333428;62406.5;6.166666666666667;62324.3;6.066666666666666;62339.475;6.2;0.5450135769940356;0.5000000000000018;1;11;2025;2;HIGH;1
BGR;2023Q1;29638.6;A;2020.0;4.066666666666666;;;;;;;;;;;2;0;2023;3;LOW;0
BGR;2023Q2;29663.1;A;2020.0;4.466666666666667;0.08266247393602377;0.40000000000000036;29638.6;4.066666666666666;;;29650.85;4.266666666666667;;;2;1;2023;3;LOW;0
BGR;2023Q3;29853.0;A;2020.0;4.433333333333334;0.6401893261324787;-0.033333333333333215;29663.1;4.466666666666667;29638.6;4.066666666666666;29718.233333333334;4.322222222222222;;;2;2;2023;3;LOW;0
BGR;2023Q4;30077.6;A;2020.0;4.333333333333333;0.7523531973335995;-0.10000000000000053;29853.0;4.433333333333334;29663.1;4.466666666666667;29808.074999999997;4.325;;;2;3;2023;3;LOW;0
BGR;2024Q1;30352.9;A;2020.0;4.666666666666667;0.9152990930127558;0.3333333333333339;30077.6;4.333333333333333;29853.0;4.433333333333334;29986.649999999998;4.475;2.4100328625508816;0.6000000000000005;2;4;2024;3;LOW;0
BGR;2024Q2;30640.2;A;2020.0;4.133333333333333;0.9465322918073671;-0.5333333333333341;30352.9;4.666666666666667;30077.6;4.333333333333333;30230.925;4.391666666666667;3.2939915248237694;-0.3333333333333339;2;5;2024;3;LOW;0
BGR;2024Q3;30896.8;A;2020.0;3.966666666666667;0.83746189646281;-0.16666666666666607;30640.2;4.133333333333333;30352.9;4.666666666666667;30491.875;4.275;3.4964660168157247;-0.4666666666666668;2;6;2024;3;LOW;0
BGR;2024Q4;31229.5;A;2020.0;3.9333333333333336;1.076810543486717;-0.033333333333333215;30896.8;3.966666666666667;30640.2;4.133333333333333;30779.85;4.175000000000001;3.829760353219669;-0.39999999999999947;2;7;2024;3;LOW;0
BGR;2025Q1;31446.3;P;2020.0;3.533333333333333;0.6942154053058758;-0.40000000000000036;31229.5;3.9333333333333336;30896.8;3.966666666666667;31053.2;3.8916666666666666;3.6022917085352546;-1.1333333333333337;1;8;2025;3;LOW;0
BGR;2025Q2;31737.8;P;2020.0;3.533333333333333;0.9269771006445993;0.0;31446.3;3.533333333333333;31229.5;3.9333333333333336;31327.6;3.7416666666666667;3.582222048158945;-0.5999999999999996;1;9;2025;3;LOW;0
BGR;2025Q3;31984.2;P;2020.0;3.733333333333333;0.7763613104878164;0.19999999999999973;31737.8;3.533333333333333;31446.3;3.533333333333333;31599.45;3.683333333333333;3.5194583257813106;-0.23333333333333384;1;10;2025;3;LOW;0
BGR;2025Q4;32265.8;P;2020.0;3.3000000000000003;0.8804347146403435;-0.4333333333333327;31984.2;3.733333333333333;31737.8;3.533333333333333;31858.525;3.525;3.318336828959789;-0.6333333333333333;1;11;2025;3;LOW;0
CAN;2023Q1;52820.1;A;2020.0;5.133333333333333;;;;;;;;;;;2;0;2023;4;HIGH;1
CAN;2023Q2;52603.4;A;2020.0;5.233333333333333;-0.4102604879581806;0.10000000000000053;52820.1;5.133333333333333;;;52711.75;5.183333333333334;;;2;1;2023;4;HIGH;1
CAN;2023Q3;52206.9;A;2020.0;5.433333333333334;-0.7537535596558342;0.20000000000000018;52603.4;5.233333333333333;52820.1;5.133333333333333;52543.46666666667;5.266666666666667;;;2;2;2023;4;HIGH;1
CAN;2023Q4;51693.6;A;2020.0;5.766666666666667;-0.9832033696695275;0.33333333333333304;52206.9;5.433333333333334;52603.4;5.233333333333333;52331.0;5.391666666666667;;;2;3;2023;4;HIGH;1
