REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT
SVN;2024Q4;48053.6;A;2020.0;3.6666666666666665
SVN;2024Q3;47805.1;A;2020.0;4.1
SVN;2024Q2;47775.7;A;2020.0;3.6
SVN;2024Q1;48072.3;A;2020.0;3.3666666666666667
SVN;2023Q4;47629.9;A;2020.0;3.5666666666666664
SVN;2023Q3;47269.2;A;2020.0;3.6333333333333333
SVN;2023Q2;47355.7;A;2020.0;3.7999999999999994
SVN;2023Q1;46761.5;A;2020.0;3.6
SVN;2025Q4;48712.3;A;2020.0;4.2
SVN;2025Q3;48552.1;A;2020.0;3.9
SVN;2025Q2;48092.1;A;2020.0;3.4333333333333336
SVK;2024Q4;39194.4;A;2020.0;5.233333333333333
SVK;2024Q3;39086.0;A;2020.0;5.3
SVK;2024Q2;39041.2;A;2020.0;5.3
SVK;2023Q4;38710.6;A;2020.0;5.666666666666667
SVK;2023Q2;38224.6;A;2020.0;5.833333333333333
SVK;2023Q1;37867.6;A;2020.0;6.066666666666666
SVK;2024Q1;38937.7;A;2020.0;5.5
SVK;2025Q4;39556.1;A;2020.0;5.6000000000000005
SVK;2025Q3;39450.0;A;2020.0;5.5
SVK;2025Q2;39333.9;A;2020.0;5.433333333333334
SVK;2025Q1;39259.2;A;2020.0;5.233333333333333
SVK;2023Q3;38523.6;A;2020.0;5.833333333333333
PRT;2023Q3;40715.1;A;2020.0;6.433333333333334
PRT;2023Q4;40908.8;A;2020.0;6.5
PRT;2023Q2;40765.7;A;2020.0;6.5
POL;2024Q3;43151.6;A;2020.0;2.966666666666667
POL;2024Q2;43153.7;A;2020.0;2.8666666666666667
JPN;2025Q3;47471.4;A;2020.0;2.533333333333333
JPN;2024Q4;47251.6;A;2020.0;2.5
JPN;2024Q2;46608.5;A;2020.0;2.566666666666667
NOR;2025Q4;74869.1;A;2020.0;4.433333333333334
NOR;2023Q1;74596.8;A;2020.0;3.6999999999999997
NOR;2023Q4;74404.7;A;2020.0;3.766666666666667
NOR;2023Q3;73132.4;A;2020.0;3.5666666666666664
NOR;2023Q2;73967.6;A;2020.0;3.3333333333333335
HUN;2024Q4;40269.4;A;2020.0;4.466666666666667
HUN;2023Q1;39447.8;A;2020.0;3.9
HUN;2024Q1;40168.1;A;2020.0;4.3
HUN;2024Q3;40100.4;A;2020.0;4.3999999999999995
HUN;2023Q4;40068.3;A;2020.0;4.3
POL;2023Q4;41993.1;A;2020.0;3.0666666666666664
POL;2023Q2;41281.3;A;2020.0;2.766666666666667
POL;2023Q1;41479.9;A;2020.0;2.6666666666666665
POL;2023Q3;42102.7;A;2020.0;2.8333333333333335
POL;2024Q1;42461.9;A;2020.0;2.9
NOR;2025Q3;75456.1;A;2020.0;4.7
NOR;2025Q2;74641.1;A;2020.0;4.766666666666667
NOR;2025Q1;73989.3;A;2020.0;4.1000000000000005
NOR;2024Q4;73857.8;A;2020.0;4.066666666666666
NOR;2024Q3;74242.0;A;2020.0;3.966666666666667
NOR;2024Q2;75008.8;A;2020.0;4.0
NOR;2024Q1;74317.7;A;2020.0;3.966666666666667
GBR;2025Q4;54841.6;A;2020.0;5.166666666666667
GBR;2025Q3;54827.4;A;2020.0;4.966666666666666
GBR;2024Q1;54058.3;A;2020.0;4.3
GBR;2024Q2;54239.8;A;2020.0;4.266666666666667
GBR;2023Q1;54571.9;A;2020.0;3.966666666666667
GBR;2023Q4;53815.9;A;2020.0;4.0
GBR;2023Q3;54137.9;A;2020.0;4.133333333333333
GBR;2023Q2;54417.6;A;2020.0;4.166666666666667
GBR;2025Q2;54810.4;A;2020.0;4.7
SWE;2024Q2;60063.9;A;2020.0;8.333333333333334
SWE;2024Q1;60890.2;A;2020.0;8.266666666666666
SWE;2023Q4;59112.8;A;2020.0;8.033333333333333
SWE;2023Q3;60123.8;A;2020.0;7.8
SWE;2023Q2;59323.5;A;2020.0;7.5
SWE;2023Q1;59991.9;A;2020.0;7.333333333333333
SWE;2025Q3;61542.2;A;2020.0;8.799999999999999
SWE;2025Q2;61393.0;A;2020.0;8.666666666666666
SWE;2025Q1;60735.9;A;2020.0;8.933333333333334
SWE;2025Q4;62002.2;A;2020.0;9.033333333333333
FRA;2023Q3;54676.2;A;2020.0;7.400000000000001
FRA;2023Q2;54524.3;A;2020.0;7.3
FRA;2023Q1;54055.1;A;2020.0;7.099999999999999
JPN;2024Q1;46608.1;A;2020.0;2.566666666666667
JPN;2023Q4;46695.0;A;2020.0;2.533333333333333
JPN;2023Q3;46371.2;A;2020.0;2.6
JPN;2023Q2;46951.2;A;2020.0;2.533333333333333
JPN;2023Q1;46899.9;A;2020.0;2.6
JPN;2025Q4;47659.5;A;2020.0;2.6
ROU;2023Q2;36523.2;A;2020.0;5.6000000000000005
ROU;2023Q1;36158.7;A;2020.0;5.666666666666667
HRV;2023Q3;37844.593854475;A;2020.0;6.066666666666666
HRV;2023Q2;37853.44189945;A;2020.0;6.133333333333333
HRV;2023Q1;37159.385172198;A;2020.0;6.333333333333333
HRV;2023Q4;38459.455619309;A;2020.0;5.7
BGR;2023Q1;29638.6;A;2020.0;4.066666666666666
BGR;2024Q3;30896.8;A;2020.0;3.966666666666667
BGR;2024Q2;30640.2;A;2020.0;4.133333333333333
BGR;2024Q1;30352.9;A;2020.0;4.666666666666667
SWE;2024Q4;61053.4;A;2020.0;8.333333333333334
GBR;2024Q3;54306.3;A;2020.0;4.233333333333333
SWE;2024Q3;60415.8;A;2020.0;8.5
PRT;2023Q1;40668.2;A;2020.0;6.866666666666667
POL;2024Q4;43777.8;A;2020.0;2.8333333333333335
FRA;2025Q4;55624.0;A;2020.0;8.0
CZE;2025Q3;49142.4;A;2020.0;3.0
AUT;2025Q4;62506.1;A;2020.0;5.833333333333333
USA;2024Q1;71742.9;A;2020.0;3.8333333333333335
USA;2023Q4;71750.5;A;2020.0;3.8000000000000003
USA;2023Q3;71328.3;A;2020.0;3.6333333333333333
USA;2024Q2;72208.8;A;2020.0;3.9666666666666663
USA;2025Q3;73993.4;A;2020.0;4.333333333333333
BGR;2023Q4;30077.6;A;2020.0;4.333333333333333
BGR;2023Q3;29853.0;A;2020.0;4.433333333333334
BGR;2023Q2;29663.1;A;2020.0;4.466666666666667
BGR;2024Q4;31229.5;A;2020.0;3.9333333333333336
BEL;2024Q1;61963.2;P;2020.0;5.7
BEL;2025Q4;62391.7;P;2020.0;6.400000000000001
BEL;2024Q3;62050.5;P;2020.0;5.7
BEL;2025Q1;62235.4;P;2020.0;6.166666666666667
BEL;2024Q2;61992.0;P;2020.0;5.599999999999999
BEL;2025Q2;62324.3;P;2020.0;6.066666666666666
BEL;2024Q4;62053.5;P;2020.0;5.8999999999999995
DEU;2025Q1;61281.9;P;2020.0;3.5666666666666664
DEU;2024Q1;61152.7;P;2020.0;3.233333333333333
DEU;2023Q4;61241.3;P;2020.0;3.1666666666666665
DEU;2023Q3;61495.7;P;2020.0;3.0666666666666664
DEU;2023Q2;61560.8;P;2020.0;3.0
DEU;2023Q1;61655.8;P;2020.0;3.033333333333333
DEU;2024Q4;61049.6;P;2020.0;3.4333333333333336
DEU;2025Q4;61338.4;P;2020.0;3.9
DEU;2025Q3;61174.6;P;2020.0;3.7999999999999994
DEU;2025Q2;61179.7;P;2020.0;3.7000000000000006
DEU;2024Q3;60955.4;P;2020.0;3.4
HUN;2025Q4;40784.4;P;2020.0;4.466666666666667
HUN;2025Q3;40660.5;P;2020.0;4.366666666666666
HUN;2025Q2;40549.8;P;2020.0;4.333333333333333
HUN;2025Q1;40245.7;P;2020.0;4.266666666666667
GRC;2025Q1;36301.2;P;2020.0;9.433333333333334
GRC;2024Q4;36109.9;P;2020.0;9.6
GRC;2024Q3;35929.1;P;2020.0;9.666666666666666
GRC;2024Q2;35809.9;P;2020.0;10.033333333333333
GRC;2024Q1;35393.8;P;2020.0;11.266666666666666
GRC;2023Q4;35275.4;P;2020.0;10.433333333333334
GRC;2023Q3;35024.5;P;2020.0;11.299999999999999
GRC;2023Q2;35109.6;P;2020.0;11.433333333333332
GRC;2023Q1;34709.6;P;2020.0;11.033333333333333
GRC;2025Q4;36869.7;P;2020.0;8.566666666666666
USA;2025Q2;73289.0;A;2020.0;4.2
USA;2025Q1;72688.6;A;2020.0;4.133333333333334
USA;2024Q4;72887.2;A;2020.0;4.133333333333333
USA;2024Q3;72658.6;A;2020.0;4.166666666666667
USA;2023Q2;70683.5;A;2020.0;3.533333333333333
USA;2023Q1;70380.4;A;2020.0;3.533333333333333
USA;2025Q4;74027.1;A;2020.0;4.45
GBR;2025Q1;54773.7;A;2020.0;4.5
GBR;2024Q4;54499.7;A;2020.0;4.4
ROU;2023Q4;36938.8;A;2020.0;5.5
ROU;2023Q3;36847.8;A;2020.0;5.433333333333334
NLD;2023Q2;67935.4;P;2020.0;3.466666666666667
NLD;2023Q1;68286.7;P;2020.0;3.533333333333333
NLD;2025Q1;68591.6;P;2020.0;3.8333333333333335
NLD;2024Q4;68384.3;P;2020.0;3.7000000000000006
NLD;2025Q4;69161.0;P;2020.0;4.0
NLD;2024Q3;68264.9;P;2020.0;3.6666666666666665
NLD;2025Q2;68795.9;P;2020.0;3.7999999999999994
NLD;2025Q3;68943.6;P;2020.0;3.9
NLD;2024Q1;67361.8;P;2020.0;3.6333333333333333
NLD;2023Q4;67341.9;P;2020.0;3.5666666666666664
NLD;2023Q3;67374.5;P;2020.0;3.6333333333333333
ISL;2025Q1;64388.6;P;2020.0;3.9
ISL;2024Q4;62573.8;P;2020.0;3.6
ISL;2024Q3;64058.1;P;2020.0;3.3666666666666667
ISL;2024Q2;64783.0;P;2020.0;3.3333333333333335
ISL;2024Q1;63870.7;P;2020.0;3.533333333333333
ISL;2023Q4;64843.5;P;2020.0;3.533333333333333
ISL;2023Q3;64683.6;P;2020.0;3.5
LUX;2025Q4;119951.6;P;2020.0;6.733333333333333
LUX;2025Q3;120448.7;P;2020.0;6.5
JPN;2024Q3;46992.6;P;2020.0;2.533333333333333
JPN;2025Q2;47691.2;P;2020.0;2.5
JPN;2025Q1;47551.0;P;2020.0;2.466666666666667
KOR;2024Q4;53714.9;E;2020.0;2.9
KOR;2024Q3;53554.3;E;2020.0;2.6333333333333333
