REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE
JPN;2023Q2;46951.2;A;2020.0
JPN;2023Q1;46899.9;A;2020.0
JPN;2025Q4;47659.5;A;2020.0
ROU;2023Q2;36523.2;A;2020.0
ROU;2023Q1;36158.7;A;2020.0
HRV;2023Q3;37844.593854475;A;2020.0
HRV;2023Q2;37853.44189945;A;2020.0
HRV;2023Q1;37159.385172198;A;2020.0
HRV;2023Q4;38459.455619309;A;2020.0
BGR;2023Q1;29638.6;A;2020.0
BGR;2024Q3;30896.8;A;2020.0
BGR;2024Q2;30640.2;A;2020.0
BGR;2024Q1;30352.9;A;2020.0
SWE;2024Q4;61053.4;A;2020.0
EU;2025Q1;50186.9;A;2020.0
EU;2024Q4;49914.9;A;2020.0
EU;2024Q3;49720.6;A;2020.0
EU;2024Q2;49548.5;A;2020.0
EU;2024Q1;49452.5;A;2020.0
EU;2023Q4;49258.4;A;2020.0
EU;2023Q3;49287.8;A;2020.0
EU;2023Q2;49259.7;A;2020.0
EU;2023Q1;49240.9;A;2020.0
EU;2025Q4;50506.5;A;2020.0
EU;2025Q3;50440.0;A;2020.0
EU;2025Q2;50287.7;A;2020.0
NZL;2023Q2;48982.5;A;2020.0
NZL;2023Q1;48988.0;A;2020.0
NZL;2025Q1;47811.0;A;2020.0
NZL;2024Q4;47365.6;A;2020.0
NZL;2024Q3;47383.7;A;2020.0
NZL;2024Q2;48040.1;A;2020.0
NZL;2024Q1;48333.5;A;2020.0
GBR;2024Q3;54306.3;A;2020.0
SWE;2024Q3;60415.8;A;2020.0
PRT;2023Q1;40668.2;A;2020.0
POL;2024Q4;43777.8;A;2020.0
FRA;2025Q4;55624.0;A;2020.0
CZE;2025Q3;49142.4;A;2020.0
AUT;2025Q4;62506.1;A;2020.0
USA;2024Q1;71742.9;A;2020.0
USA;2023Q4;71750.5;A;2020.0
USA;2023Q3;71328.3;A;2020.0
USA;2024Q2;72208.8;A;2020.0
USA;2025Q3;73993.4;A;2020.0
ZAF;2025Q1;13604.4;A;2020.0
ZAF;2024Q4;13634.3;A;2020.0
ZAF;2024Q3;13616.9;A;2020.0
ZAF;2024Q2;13694.9;A;2020.0
ZAF;2024Q1;13699.0;A;2020.0
ZAF;2023Q4;13726.5;A;2020.0
ZAF;2023Q3;13712.1;A;2020.0
ZAF;2023Q2;13805.3;A;2020.0
ZAF;2023Q1;13735.2;A;2020.0
ZAF;2025Q4;13696.4;A;2020.0
ZAF;2025Q3;13680.6;A;2020.0
ZAF;2025Q2;13676.1;A;2020.0
BGR;2023Q4;30077.6;A;2020.0
BGR;2023Q3;29853.0;A;2020.0
BGR;2023Q2;29663.1;A;2020.0
BGR;2024Q4;31229.5;A;2020.0
BEL;2024Q1;61963.2;P;2020.0
BEL;2025Q4;62391.7;P;2020.0
BEL;2024Q3;62050.5;P;2020.0
BEL;2025Q1;62235.4;P;2020.0
BEL;2024Q2;61992.0;P;2020.0
BEL;2025Q2;62324.3;P;2020.0
BEL;2024Q4;62053.5;P;2020.0
DEU;2025Q1;61281.9;P;2020.0
DEU;2024Q1;61152.7;P;2020.0
DEU;2023Q4;61241.3;P;2020.0
DEU;2023Q3;61495.7;P;2020.0
DEU;2023Q2;61560.8;P;2020.0
DEU;2023Q1;61655.8;P;2020.0
DEU;2024Q4;61049.6;P;2020.0
DEU;2025Q4;61338.4;P;2020.0
DEU;2025Q3;61174.6;P;2020.0
DEU;2025Q2;61179.7;P;2020.0
DEU;2024Q3;60955.4;P;2020.0
HUN;2025Q4;40784.4;P;2020.0
HUN;2025Q3;40660.5;P;2020.0
HUN;2025Q2;40549.8;P;2020.0
HUN;2025Q1;40245.7;P;2020.0
GRC;2025Q1;36301.2;P;2020.0
GRC;2024Q4;36109.9;P;2020.0
GRC;2024Q3;35929.1;P;2020.0
GRC;2024Q2;35809.9;P;2020.0
GRC;2024Q1;35393.8;P;2020.0
GRC;2023Q4;35275.4;P;2020.0
GRC;2023Q3;35024.5;P;2020.0
GRC;2023Q2;35109.6;P;2020.0
GRC;2023Q1;34709.6;P;2020.0
GRC;2025Q4;36869.7;P;2020.0
USA;2025Q2;73289.0;A;2020.0
USA;2025Q1;72688.6;A;2020.0
USA;2024Q4;72887.2;A;2020.0
USA;2024Q3;72658.6;A;2020.0
USA;2023Q2;70683.5;A;2020.0
USA;2023Q1;70380.4;A;2020.0
USA;2025Q4;74027.1;A;2020.0
GBR;2025Q1;54773.7;A;2020.0
GBR;2024Q4;54499.7;A;2020.0
ROU;2023Q4;36938.8;A;2020.0
ROU;2023Q3;36847.8;A;2020.0
NLD;2023Q2;67935.4;P;2020.0
NLD;2023Q1;68286.7;P;2020.0
NLD;2025Q1;68591.6;P;2020.0
NLD;2024Q4;68384.3;P;2020.0
NLD;2025Q4;69161.0;P;2020.0
NLD;2024Q3;68264.9;P;2020.0
NLD;2025Q2;68795.9;P;2020.0
NLD;2025Q3;68943.6;P;2020.0
NLD;2024Q1;67361.8;P;2020.0
NLD;2023Q4;67341.9;P;2020.0
NLD;2023Q3;67374.5;P;2020.0
ISL;2025Q1;64388.6;P;2020.0
ISL;2024Q4;62573.8;P;2020.0
ISL;2024Q3;64058.1;P;2020.0
ISL;2024Q2;64783.0;P;2020.0
ISL;2024Q1;63870.7;P;2020.0
ISL;2023Q4;64843.5;P;2020.0
ISL;2023Q3;64683.6;P;2020.0
LUX;2025Q4;119951.6;P;2020.0
LUX;2025Q3;120448.7;P;2020.0
JPN;2024Q3;46992.6;P;2020.0
JPN;2025Q2;47691.2;P;2020.0
JPN;2025Q1;47551.0;P;2020.0
KOR;2024Q4;53714.9;E;2020.0
KOR;2024Q3;53554.3;E;2020.0
KOR;2024Q2;53508.2;E;2020.0
KOR;2025Q2;54049.0;E;2020.0
KOR;2024Q1;53580.6;E;2020.0
KOR;2023Q4;53067.6;E;2020.0
KOR;2023Q3;52716.8;E;2020.0
KOR;2023Q2;52236.6;E;2020.0
KOR;2023Q1;51889.9;E;2020.0
KOR;2025Q4;54712.9;E;2020.0
KOR;2025Q1;53665.2;E;2020.0
KOR;2025Q3;54796.4;E;2020.0
HRV;2024Q4;39625.260218661;P;2020.0
HRV;2024Q3;39388.391564438;P;2020.0
HRV;2024Q2;38998.220613159;P;2020.0
HRV;2025Q1;39981.583606851;P;2020.0
HRV;2024Q1;38597.924349456;P;2020.0
HRV;2025Q4;40850.897090627;P;2020.0
HRV;2025Q3;40387.431570291;P;2020.0
HRV;2025Q2;40228.971042541;P;2020.0
ESP;2023Q3;44840.1;P;2020.0
ESP;2023Q2;44618.6;P;2020.0
ESP;2023Q1;44641.2;P;2020.0
ESP;2025Q2;46627.1;P;2020.0
ESP;2024Q4;46242.8;P;2020.0
ESP;2025Q1;46396.1;P;2020.0
ESP;2025Q4;47028.1;P;2020.0
ESP;2024Q3;45994.1;P;2020.0
ESP;2024Q2;45757.3;P;2020.0
ESP;2024Q1;45432.5;P;2020.0
ESP;2023Q4;45050.2;P;2020.0
ESP;2025Q3;46814.7;P;2020.0
POL;2025Q2;44579.7;P;2020.0
POL;2025Q1;44182.0;P;2020.0
POL;2025Q4;45593.1;P;2020.0
POL;2025Q3;45099.4;P;2020.0
MEX;2025Q2;21728.4;P;2020.0
MEX;2025Q1;21680.9;P;2020.0
MEX;2024Q4;21569.7;P;2020.0
MEX;2024Q3;21834.4;P;2020.0
MEX;2024Q2;21626.2;P;2020.0
MEX;2024Q1;21674.6;P;2020.0
GRC;2025Q3;36630.5;P;2020.0
GRC;2025Q2;36432.1;P;2020.0
PRT;2024Q3;41128.2;P;2020.0
PRT;2025Q1;41350.3;P;2020.0
PRT;2024Q2;41172.3;P;2020.0
PRT;2024Q1;41062.6;P;2020.0
PRT;2024Q4;41489.2;P;2020.0
PRT;2025Q4;41872.4;P;2020.0
PRT;2025Q3;41570.3;P;2020.0
PRT;2025Q2;41425.1;P;2020.0
MEX;2023Q3;21642.6;P;2020.0
MEX;2023Q2;21509.8;P;2020.0
MEX;2025Q4;21799.1;P;2020.0
MEX;2025Q3;21683.4;P;2020.0
MEX;2023Q1;21372.4;P;2020.0
LUX;2025Q1;119162.5;P;2020.0
LUX;2025Q2;119477.2;P;2020.0
BGR;2025Q1;31446.3;P;2020.0
BGR;2025Q4;32265.8;P;2020.0
BGR;2025Q3;31984.2;P;2020.0
BGR;2025Q2;31737.8;P;2020.0
ROU;2024Q1;36889.7;P;2020.0
NLD;2024Q2;68025.2;P;2020.0
ISL;2023Q2;67387.8;P;2020.0
ISL;2023Q1;66198.4;P;2020.0
ISL;2025Q4;63373.2;P;2020.0
ISL;2025Q3;64083.1;P;2020.0
ISL;2025Q2;63475.9;P;2020.0
DEU;2024Q2;60960.5;P;2020.0
BEL;2025Q3;62406.5;P;2020.0
ROU;2024Q2;36712.9;P;2020.0
ROU;2025Q1;37188.0;P;2020.0
ROU;2024Q4;37296.7;P;2020.0
ROU;2024Q3;36953.8;P;2020.0
ROU;2025Q4;36774.1;P;2020.0
ROU;2025Q3;37502.5;P;2020.0
ROU;2025Q2;37517.6;P;2020.0
