STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,ADJUSTMENT,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,BASE_PER,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,AUS,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,LA,,T0102,,2025-Q3,,75966.5,,,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,BGR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,LA,,T0102,,2024-Q4,,43168.4,,,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,EST,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,LR,,LA,,T0102,,2025-Q2,,41259.3,,2020,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,EST,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,LR,,LA,,T0102,,2025-Q1,,40945,,2020,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,EST,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,LR,,LA,,T0102,,2024-Q4,,40866.2,,2020,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,AUT,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,LR,,LA,,T0102,,2024-Q4,,61985,,2020,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,AUT,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,LR,,LA,,T0102,,2025-Q4,,62241.4,,2020,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,LA,,T0102,,2025-Q4,,85787.8,,,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,LA,,T0102,,2024-Q4,,83032.6,,,,,,F,,1,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_CAPITA(1.1),,I,Q,,Y,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,LR,,LA,,T0102,,2025-Q4,,70749.4,,2020,,,,F,,1,,A,,0,,USD,
