STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-04,,6.2,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-05,,6.2,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-06,,6.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-07,,5.9,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-08,,6,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-09,,6,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-10,,5.8,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-11,,5.7,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,PRT,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-12,,5.6,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),,I,LUX,,UNE_LF_M,,PT_LF_SUB,,_Z,,Y,,_T,,Y_GE15,,_Z,,M,,2025-02,,6.5,,,,A,,0,,1,
